Key,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Decoding Success Rate Signal 1,Decoding Success Rate Signal 2,Average Decoding Quality Signal 1,Average Decoding Quality Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
variant01__2025-02-22-11-51-26_sanity_check_unsharping_params_20_4_50_5_1.5_1.5_1.0_0.5_processed,5176,5139,42068,44260,0.12303888941713416,0.11610935381834614,87.79930795847751,85.19723183391004,87.69611105828659,88.38906461816539,85.10265282583622,90.24452133794694,0.23914824323548028,0.12303888941713416,-0.00692953559878802,-5.631988090606925
variant01__2025-02-22-12-00-08_unsharping_params_10_4_50_5_1.5_1.5_1.0_0.5_processed,4326,4040,41557,43356,0.10409798589888587,0.09318202786234893,86.7704011065007,87.82157676348548,89.59020141011142,90.68179721376511,85.82526509912402,90.6316274781005,0.1972800137612348,0.10409798589888587,-0.010915958036536944,-10.486233659832772
variant01__2025-02-22-12-08-11_unsharping_10_4_50_5_1.5_1.5_1.0_0.5_nopub_processed,4326,4040,41557,43356,0.10409798589888587,0.09318202786234893,86.7704011065007,87.82157676348548,89.59020141011142,90.68179721376511,85.82526509912402,90.6316274781005,0.1972800137612348,0.10409798589888587,-0.010915958036536944,-10.486233659832772
variant01__2025-02-22-13-10-35_tophat_params_10_4_50_5_k3_processed,4054,5230,41289,44314,0.09818595751895177,0.11802139278783229,91.36237897648685,86.39004149377594,90.18140424810483,88.19786072121677,85.83448593822037,90.09681881051176,0.21620735030678406,0.11802139278783229,0.019835435268880514,20.201906433567036
variant01__2025-02-22-13-22-15_tophat_params_5_4_50_5_k3_processed,3687,4628,40901,43808,0.09014449524461504,0.10564280496712929,90.59580651858002,85.75877101930662,90.98555047553849,89.43571950328707,85.83950360990012,90.37436855580928,0.19578730021174434,0.10564280496712929,0.015498309722514245,17.19274114349214
