Threshold,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
40,3564,3637,45856,46383,0.0777215631542219,0.07841234935213333,92.22929109322254,90.93741885224617,0.15613391250635522,0.07841234935213333,0.0006907861979114222,0.8887960687830015
60,3422,3429,45853,46404,0.07462979521514405,0.0738944918541505,92.34614385873799,91.56712542196831,0.14852428706929455,0.07462979521514405,-0.0007353033609935472,-0.985267826172914
80,3338,3216,45851,46401,0.07280102942138666,0.06930885110234693,92.54545454545455,91.81818181818183,0.14210988052373358,0.07280102942138666,-0.0034921783190397376,-4.796880410613872
100,3265,3253,45865,46381,0.07118717976670665,0.0701364782993036,92.72727272727272,90.66233766233766,0.14132365806601024,0.07118717976670665,-0.001050701467403048,-1.4759700705188603
120,3176,4481,45851,46382,0.0692678458485093,0.09661075417187702,92.96753246753246,82.27272727272728,0.16587860002038632,0.09661075417187702,0.02734290832336772,39.474171584846765
160,3067,8499,45856,46424,0.06688328681088625,0.18307341030501464,93.05753994025197,59.702558773866734,0.2499566971159009,0.18307341030501464,0.1161901234941284,173.72071414889965
200,2894,11749,45845,46460,0.06312574980913949,0.2528842014636246,93.27272727272728,43.922077922077925,0.3160099512727641,0.2528842014636246,0.18975845165448513,300.6038775431884
