Threshold,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Decoding Success Rate Signal 1,Decoding Success Rate Signal 2,Average Decoding Quality Signal 1,Average Decoding Quality Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
40,3651,4179,48506,48061,0.07526903888178782,0.08695199850190383,92.44750092103648,87.31425764460272,92.47309611182122,91.30480014980962,91.80686888534119,89.81538335584756,0.16222103738369165,0.08695199850190383,0.011682959620116007,15.521600639094688
60,3575,6403,48517,48336,0.0736855122946596,0.1324685534591195,92.47820213680463,73.68905808670023,92.63144877053404,86.75314465408806,91.98493593679645,85.82627205370665,0.2061540657537791,0.1324685534591195,0.05878304116445991,79.77557505387698
80,3434,7987,48500,48077,0.0708041237113402,0.1661293341930653,92.73475403795369,63.10876374132531,92.91958762886597,83.38706658069347,92.24344408278573,82.05695101230322,0.2369334579044055,0.1661293341930653,0.0953252104817251,134.6322862074452
100,3281,10824,48500,48041,0.06764948453608248,0.22530754980121145,92.95100085963404,50.362274346064105,93.23505154639176,77.46924501987885,92.55188505464817,76.17380981620205,0.2929570343372939,0.22530754980121145,0.157658065265129,233.05139181221443
120,3147,13276,48503,48064,0.06488258458239697,0.2762150466045273,93.16548971446116,40.55879643844028,93.5117415417603,72.37849533954727,92.83184935011771,71.20458499641796,0.34109763118692427,0.2762150466045273,0.2113324620221303,325.71523372924645
160,2819,18607,48305,48139,0.058358347997101746,0.3865265169612996,93.59572639076508,23.369765442711532,94.16416520028983,61.34734830387004,93.09836669532113,60.44455360432273,0.44488486495840135,0.3865265169612996,0.3281681689641978,562.3328627816807
200,2731,25055,48513,48047,0.056294189186403644,0.5214685620330094,93.69397028122314,10.106840230873143,94.37058108135965,47.853143796699065,93.70420401981252,47.05882352941176,0.577762751219413,0.5214685620330094,0.46517437284660573,826.3275118970116
