Key,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Decoding Success Rate Signal 1,Decoding Success Rate Signal 2,Average Decoding Quality Signal 1,Average Decoding Quality Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
variant01__2025-02-15-16-46-18_params_20_4_50_5_1_1_1_05_median_blur_after_only_processed,5079,4968,41939,43953,0.12110446124132669,0.1130298273155416,87.30103806228374,85.0242214532872,87.88955387586734,88.69701726844585,85.02883506343714,89.93079584775087,0.2341342885568683,0.12110446124132669,-0.008074633925785085,-6.667495022908067
variant01__2025-02-15-17-03-11_params_20_4_50_5_2_2_1_05_only_change_sigma_processed,5029,5186,41887,44536,0.12006111681428605,0.11644512304652416,87.98615916955018,86.9757785467128,87.9938883185714,88.35548769534758,85.0242214532872,90.77277970011534,0.2365062398608102,0.12006111681428605,-0.0036159937677618936,-3.0117942125719317
variant01__2025-02-15-17-13-15_20_4_50_5_1.5_1.5_1_0.5_only_change_sigma_processed,2468,2288,26317,26465,0.09377968613443781,0.08645380691479312,90.37637521713955,89.84365952518819,90.62203138655622,91.3546193085207,92.06330824165218,93.329473074696,0.18023349304923092,0.09377968613443781,-0.007325879219644685,-7.811797545518201
variant01__2025-02-16-13-51-56_tophat_params_10_4_50_5_k15_processed,5079,4163,42246,43571,0.12022439994318988,0.09554520208395492,82.89073305670817,88.3195020746888,87.97756000568101,90.44547979160451,85.67773167358229,90.84370677731674,0.2157696020271448,0.12022439994318988,-0.02467919785923496,-20.527611592070098
variant01__2025-02-16-14-01-41_tophat_params_10_4_50_5_k10_processed,5031,4096,42182,43529,0.11926888246171352,0.09409818741528636,83.0668051228799,88.50813430252683,88.07311175382864,90.59018125847136,85.72977962386062,90.99573093342565,0.21336706987699988,0.11926888246171352,-0.02517069504642716,-21.10415938080681
variant01__2025-02-16-14-11-49_tophat_params_10_4_50_5_k7_processed,4406,3861,41600,43324,0.10591346153846154,0.08911919490351768,87.19225449515906,88.72752420470262,89.40865384615385,91.08808050964822,85.73997233748271,90.97049331489164,0.1950326564419792,0.10591346153846154,-0.016794266634943864,-15.856593100627887
variant01__2025-02-16-14-19-38_tophat_params_10_4_50_5_k5_processed,4042,4518,41242,43933,0.0980068861839872,0.10283841303803519,89.8478561549101,88.16735822959889,90.19931138160128,89.71615869619647,85.75380359612724,90.85984324573536,0.20084529922202238,0.10283841303803519,0.004831526854047988,4.929783040936346
variant01_adaptive_kl_processed,44395,58183,67439,94944,0.6582986105962425,0.6128138692281766,6.929016526686535,2.6212408561365486,34.17013894037575,38.71861307718234,50.106113970920255,79.0910322405852,1.271112479824419,0.6582986105962425,-0.045484741368065906,-6.909439065482593
variant01_adaptive_otsu_c4_d4_mxs15_processed,8825,5503,51017,47712,0.17298155516788521,0.1153378604963112,78.8051948051948,86.29220779220779,82.70184448321149,88.46621395036888,91.32467532467533,91.36147186147186,0.2883194156641964,0.17298155516788521,-0.057643694671574014,-33.323607604075825
variant01_adaptive_otsu_c4_d5_mxs15_invalids_processed,9653,6963,44402,44233,0.21740011711184182,0.157416408563742,75.89094180333541,81.49609023596983,78.25998828881582,84.25835914362581,80.1536225866722,85.96867575484973,0.3748165256755838,0.21740011711184182,-0.05998370854809981,-27.59138741274969
