,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Decoding Success Rate Signal 1,Decoding Success Rate Signal 2,Average Decoding Quality Signal 1,Average Decoding Quality Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
motiv_dynamic_th40_processed,5459,6075,41561,49654,0.13134910132095,0.122346638740081,81.9034423958222,78.8340616007673,86.865089867905,87.7653361259919,64.126611957796,77.4077231873246,0.253695740061031,0.13134910132095,-0.009002462580869,-6.85384406161345
motiv_dynamic_th60_processed,5865,6670,40949,48679,0.143226940828836,0.137020070256168,80.8774388272071,74.5068448852,85.6773059171164,86.2979929743832,63.0304336890518,75.4715964212569,0.280247011085004,0.143226940828836,-0.006206870572668,-4.33359152736875
motiv_dynamic_th80_processed,5801,7356,41138,48538,0.141013175166513,0.151551361819605,81.137740603721,70.2911372044394,85.8986824833487,84.8448638180395,63.149428985041,73.5992708165782,0.292564536986118,0.151551361819605,0.010538186653093,7.47319294147426
motiv_dynamic_th100_processed,5867,8810,41397,49102,0.141725245790758,0.17942242678506,81.4844288821688,64.4755689957027,85.8274754209242,82.057757321494,62.8326878525828,71.2540010964331,0.321147672575817,0.17942242678506,0.037697180994302,26.5987762335285
motiv_dynamic_th120_processed,6006,10847,41127,49084,0.146035451163469,0.220988509493929,81.0049344723298,55.106913567146,85.3964548836531,77.9011490506071,62.1106807449461,67.623494455351,0.367023960657398,0.220988509493929,0.07495305833046,51.3252485840295
motiv_dynamic_th160_processed,7079,15456,40637,48792,0.174200851440805,0.316773241515002,76.0448792938424,38.3441454854834,82.5799148559195,68.3226758484998,59.4810166967989,59.0875252578964,0.490974092955808,0.316773241515002,0.142572390074197,81.8436815291024
motiv_dynamic_th200_processed,8293,18374,35090,42667,0.236335138216016,0.430637260646401,68.115766529426,22.8081860014531,76.3664861783984,56.9362739353599,54.0768547670945,49.0231694518447,0.666972398862417,0.430637260646401,0.194302122430385,82.2146566511783
